quarter_date,rank,permno,permco,ticker,comnam,mcap
2017-07-01,12,66093,21645,T,A T & T INC,234300280000.0
2017-07-01,13,55976,21880,WMT,WALMART INC,227172644640.0
2017-07-01,14,83443,540,BRK,BERKSHIRE HATHAWAY INC DEL,225659643600.00003
2017-07-01,15,18163,21446,PG,PROCTER & GAMBLE CO,224405052359.99997
2017-07-01,16,10104,8045,ORCL,ORACLE CORP,204186623520.0
2017-07-01,17,21936,21394,PFE,PFIZER INC,201832484080.0
2017-07-01,18,14541,20440,CVX,CHEVRON CORP NEW,201391409100.0
2017-07-01,19,11308,20468,KO,COCA COLA CO,191239740840.0
2017-07-01,20,70519,20483,C,CITIGROUP INC,187937391080.0
2017-07-01,21,66181,5085,HD,HOME DEPOT INC,184127413594.45
2017-07-01,22,65875,20288,VZ,VERIZON COMMUNICATIONS INC,183571605000.0
2017-07-01,23,92602,52978,PM,PHILIP MORRIS INTERNATIONAL INC,181562416700.00003
2017-07-01,24,89525,43613,CMCSA,COMCAST CORP NEW,180442678079.99997
2017-07-01,25,92655,7267,UNH,UNITEDHEALTH GROUP INC,179867502663.38
2017-07-01,26,22752,21188,MRK,MERCK & CO INC NEW,175789054549.99997
2017-07-01,27,92611,52983,V,VISA INC,172347437500.0
2017-07-01,28,26403,20587,DIS,DISNEY WALT CO,168161897340.0
2017-07-01,29,13856,21384,PEP,PEPSICO INC,164560874400.0
2017-07-01,30,59328,2367,INTC,INTEL CORP,157228540000.0
2017-10-01,1,14593,7,AAPL,APPLE INC,788460975810.0001
2017-10-01,2,10107,8048,MSFT,MICROSOFT CORP,575648456130.0
2017-10-01,3,84788,15473,AMZN,AMAZON COM INC,462329580000.0
2017-10-01,4,13407,54084,META,META PLATFORMS INC,404185950000.0
2017-10-01,5,22111,21018,JNJ,JOHNSON & JOHNSON,352194480000.0
2017-10-01,6,11850,20678,XOM,EXXON MOBIL CORP,345874962780.0
2017-10-01,7,47896,20436,JPM,JPMORGAN CHASE & CO,340776473760.0
2017-10-01,8,14542,45483,GOOG,ALPHABET INC,333142133699.46
2017-10-01,9,38703,21305,WFC,WELLS FARGO & CO NEW,275350029150.0
